"Year
of
Death","Age
Group","Veteran
Suicide
Deaths","Veteran
Population
Estimate","Veteran
Crude
Rate per
100,000","Male
Veteran
Suicide
Deaths","Male
Veteran
Population
Estimate","Male
Veteran
Crude
Rate per
100,000","Age
Group
2","Female
Veteran
Suicide
Deaths","Female
Veteran
Population
Estimate","Female
Veteran
Crude
Rate per
100,000"
2001,18-34,618,"2,616,000",23.6,588,"2,223,000",26.5,18-34,30,"393,000",7.6
2001,35-54,"2,509","8,899,000",28.2,"2,402","8,137,000",29.5,35-54,107,"762,000",14.0
2001,55-74,"1,693","9,761,000",17.3,"1,682","9,512,000",17.7,55+,17,"466,000",3.6
2001,75+,"1,178","4,457,000",26.4,"1,172","4,240,000",27.6,.,.,.,.
2001,All,"6,001","25,733,000",23.3,"5,847","24,112,000",24.2,All,154,"1,621,000",9.5
2002,18-34,589,"2,504,000",23.5,565,"2,112,000",26.8,18-34,24,"392,000",6.1
2002,35-54,"2,433","8,470,000",28.7,"2,343","7,688,000",30.5,35-54,90,"782,000",11.5
2002,55-74,"1,821","9,816,000",18.6,"1,810","9,527,000",19.0,55+,20,"504,000",4.0
2002,75+,"1,288","4,608,000",28.0,"1,279","4,393,000",29.1,.,.,.,.
2002,All,"6,138","25,398,000",24.2,"6,004","23,720,000",25.3,All,134,"1,678,000",8.0
2003,18-34,668,"2,397,000",27.9,627,"2,009,000",31.2,18-34,41,"388,000",10.6
2003,35-54,"2,319","8,043,000",28.8,"2,229","7,247,000",30.8,35-54,90,"796,000",11.3
2003,55-74,"1,822","9,891,000",18.4,"1,808","9,586,000",18.9,55+,21,"521,000",4.0
2003,75+,"1,189","4,662,000",25.5,"1,182","4,446,000",26.6,.,.,.,.
2003,All,"6,005","24,993,000",24.0,"5,853","23,288,000",25.1,All,152,"1,705,000",8.9
2004,18-34,589,"2,342,000",25.1,552,"1,946,000",28.4,18-34,37,"396,000",9.3
2004,35-54,"2,236","7,732,000",28.9,"2,127","6,924,000",30.7,35-54,109,"808,000",13.5
2004,55-74,"1,896","9,872,000",19.2,"1,881","9,556,000",19.7,55+,22,"550,000",4.0
2004,75+,"1,280","4,810,000",26.6,"1,273","4,576,000",27.8,.,.,.,.
2004,All,"6,004","24,756,000",24.3,"5,836","23,002,000",25.4,All,168,"1,754,000",9.6
2005,18-34,576,"2,270,000",25.4,533,"1,870,000",28.5,18-34,43,"400,000",10.8
2005,35-54,"2,137","7,576,000",28.2,"2,020","6,737,000",30.0,35-54,117,"839,000",13.9
2005,55-74,"2,001","9,835,000",20.3,"1,978","9,474,000",20.9,55+,30,"604,000",5.0
2005,75+,"1,405","4,919,000",28.6,"1,398","4,676,000",29.9,.,.,.,.
2005,All,"6,123","24,600,000",24.9,"5,933","22,757,000",26.1,All,190,"1,843,000",10.3
2006,18-34,531,"2,191,000",24.2,498,"1,795,000",27.7,18-34,33,"396,000",8.3
2006,35-54,"2,070","7,416,000",27.9,"1,959","6,564,000",29.8,35-54,111,"852,000",13.0
2006,55-74,"2,063","9,593,000",21.5,"2,043","9,246,000",22.1,55+,29,"574,000",5.1
2006,75+,"1,369","4,917,000",27.8,"1,360","4,690,000",29.0,.,.,.,.
2006,All,"6,035","24,117,000",25.0,"5,862","22,295,000",26.3,All,173,"1,822,000",9.5
2007,18-34,561,"2,149,000",26.1,526,"1,749,000",30.1,18-34,35,"400,000",8.8
2007,35-54,"2,109","7,219,000",29.2,"1,994","6,361,000",31.3,35-54,115,"858,000",13.4
