"Year
of
Death","Geographic
Region",State of Death,Sex,"Veteran
Suicides"
2001,Northeastern,Connecticut,Male,40-50
2001,Northeastern,Connecticut,Female,<10
2001,Northeastern,Connecticut,All,45
2001,Northeastern,Maine,Male,30-40
2001,Northeastern,Maine,Female,<10
2001,Northeastern,Maine,All,38
2001,Northeastern,Massachusetts,Male,80-90
2001,Northeastern,Massachusetts,Female,<10
2001,Northeastern,Massachusetts,All,82
2001,Northeastern,New Hampshire,Male,20-30
2001,Northeastern,New Hampshire,Female,<10
2001,Northeastern,New Hampshire,All,27
2001,Northeastern,New Jersey,Male,80-90
2001,Northeastern,New Jersey,Female,<10
2001,Northeastern,New Jersey,All,93
2001,Northeastern,New York,Male,160-170
2001,Northeastern,New York,Female,<10
2001,Northeastern,New York,All,169
2001,Northeastern,Pennsylvania,Male,260-270
2001,Northeastern,Pennsylvania,Female,<10
2001,Northeastern,Pennsylvania,All,270
2001,Northeastern,Rhode Island,Male,10-20
2001,Northeastern,Rhode Island,Female,<10
2001,Northeastern,Rhode Island,All,17
2001,Northeastern,Vermont,Male,10-20
2001,Northeastern,Vermont,Female,<10
2001,Northeastern,Vermont,All,21
2001,Midwestern,Illinois,Male,200-210
2001,Midwestern,Illinois,Female,<10
2001,Midwestern,Illinois,All,205
2001,Midwestern,Indiana,Male,130-140
2001,Midwestern,Indiana,Female,<10
2001,Midwestern,Indiana,All,140
2001,Midwestern,Iowa,Male,70-80
2001,Midwestern,Iowa,Female,<10
2001,Midwestern,Iowa,All,72
2001,Midwestern,Kansas,Male,60-70
2001,Midwestern,Kansas,Female,<10
2001,Midwestern,Kansas,All,63
2001,Midwestern,Michigan,Male,170-180
2001,Midwestern,Michigan,Female,<10
2001,Midwestern,Michigan,All,181
2001,Midwestern,Minnesota,Male,90-100
2001,Midwestern,Minnesota,Female,<10
2001,Midwestern,Minnesota,All,97
2001,Midwestern,Missouri,Male,140-150
2001,Midwestern,Missouri,Female,<10
2001,Midwestern,Missouri,All,146
2001,Midwestern,Nebraska,Male,30-40
2001,Midwestern,Nebraska,Female,<10
2001,Midwestern,Nebraska,All,36
2001,Midwestern,North Dakota,Male,20-30
2001,Midwestern,North Dakota,Female,<10
2001,Midwestern,North Dakota,All,23
2001,Midwestern,Ohio,Male,270-280
2001,Midwestern,Ohio,Female,<10
2001,Midwestern,Ohio,All,286
2001,Midwestern,South Dakota,Male,20-30
2001,Midwestern,South Dakota,Female,<10
2001,Midwestern,South Dakota,All,27
2001,Midwestern,Wisconsin,Male,110-120
2001,Midwestern,Wisconsin,Female,<10
2001,Midwestern,Wisconsin,All,115
2001,Southern,Alabama,Male,100-110
2001,Southern,Alabama,Female,<10
2001,Southern,Alabama,All,104
2001,Southern,Arkansas,Male,70-80
2001,Southern,Arkansas,Female,<10
2001,Southern,Arkansas,All,74
2001,Southern,Delaware,Male,20-30
2001,Southern,Delaware,Female,<10
2001,Southern,Delaware,All,22
2001,Southern,District of Columbia,Male,<10
2001,Southern,District of Columbia,Female,<10
2001,Southern,District of Columbia,All,<10
2001,Southern,Florida,Male,507
2001,Southern,Florida,Female,14
2001,Southern,Florida,All,521
2001,Southern,Georgia,Male,150-160
2001,Southern,Georgia,Female,<10
2001,Southern,Georgia,All,154
2001,Southern,Kentucky,Male,70-80
2001,Southern,Kentucky,Female,<10
2001,Southern,Kentucky,All,74
2001,Southern,Louisiana,Male,90-100
2001,Southern,Louisiana,Female,<10
2001,Southern,Louisiana,All,102
2001,Southern,Maryland,Male,70-80
2001,Southern,Maryland,Female,<10
2001,Southern,Maryland,All,79
2001,Southern,Mississippi,Male,60-70
2001,Southern,Mississippi,Female,<10
2001,Southern,Mississippi,All,63
2001,Southern,North Carolina,Male,170-180
2001,Southern,North Carolina,Female,<10
2001,Southern,North Carolina,All,184
2001,Southern,Oklahoma,Male,100-110
2001,Southern,Oklahoma,Female,<10
2001,Southern,Oklahoma,All,107
2001,Southern,South Carolina,Male,80-90
2001,Southern,South Carolina,Female,<10
2001,Southern,South Carolina,All,94
2001,Southern,Tennessee,Male,140-150
2001,Southern,Tennessee,Female,<10
2001,Southern,Tennessee,All,150
2001,Southern,Texas,Male,407
2001,Southern,Texas,Female,13
2001,Southern,Texas,All,420
2001,Southern,Virginia,Male,150-160
2001,Southern,Virginia,Female,<10
2001,Southern,Virginia,All,158
2001,Southern,West Virginia,Male,60-70
2001,Southern,West Virginia,Female,<10
2001,Southern,West Virginia,All,68
2001,Western,Alaska,Male,10-20
2001,Western,Alaska,Female,<10
2001,Western,Alaska,All,15
2001,Western,Arizona,Male,160-170
2001,Western,Arizona,Female,<10
2001,Western,Arizona,All,166
2001,Western,California,Male,460-470
2001,Western,California,Female,<10
2001,Western,California,All,474
2001,Western,Colorado,Male,130-140
2001,Western,Colorado,Female,<10
2001,Western,Colorado,All,144
2001,Western,Hawaii,Male,20-30
2001,Western,Hawaii,Female,<10
2001,Western,Hawaii,All,31
2001,Western,Idaho,Male,30-40
2001,Western,Idaho,Female,<10
2001,Western,Idaho,All,36
2001,Western,Montana,Male,40-50
2001,Western,Montana,Female,<10
2001,Western,Montana,All,43
2001,Western,Nevada,Male,100-110
2001,Western,Nevada,Female,<10
2001,Western,Nevada,All,115
2001,Western,New Mexico,Male,70-80
