Year,"Geographic
Region",State of Death,"Age
Group","Veteran
Suicides","Veteran
Suicide
Rate
per
100,000","General
Population
Suicides","General
Population
Rate per
100,000"
2001,Northeastern,All,18-34,91,28.0,1171,9.7
2001,Northeastern,All,35-54,293,21.9,1814,11.0
2001,Northeastern,All,55-74,217,12.0,796,9.2
2001,Northeastern,All,75+,159,17.2,387,10.6
2001,Northeastern,All,All,762,17.3,4168,10.2
2001,Northeastern,Connecticut,18-34,<10,--,68,9.5
2001,Northeastern,Connecticut,35-54,14,16.3*,119,11.0
2001,Northeastern,Connecticut,55-74,16,12.5*,55,10.0
2001,Northeastern,Connecticut,75+,10-20,--,26,10.7
2001,Northeastern,Connecticut,All,45,15.2,268,10.4
2001,Northeastern,Maine,18-34,<10,--,42,16.2
2001,Northeastern,Maine,35-54,13,24.1*,55,13.3
2001,Northeastern,Maine,55-74,13,22.0*,43,19.2
2001,Northeastern,Maine,75+,<10,--,14,15.7*
2001,Northeastern,Maine,All,38,25.0,154,15.6
2001,Northeastern,Massachusetts,18-34,<10,--,120,8.0
2001,Northeastern,Massachusetts,35-54,32,20.5,193,9.8
2001,Northeastern,Massachusetts,55-74,29,13.2,70,7.1
2001,Northeastern,Massachusetts,75+,10-20,--,33,7.6
2001,Northeastern,Massachusetts,All,82,15.6,416,8.5
2001,Northeastern,New Hampshire,18-34,<10,--,55,20.8
2001,Northeastern,New Hampshire,35-54,11,22.0*,71,17.1
2001,Northeastern,New Hampshire,55-74,<10,--,20-30,--
2001,Northeastern,New Hampshire,75+,<10,--,<10,--
2001,Northeastern,New Hampshire,All,27,19.9,160,17.0
2001,Northeastern,New Jersey,18-34,<10,--,159,8.6
2001,Northeastern,New Jersey,35-54,34,19.1,258,9.8
2001,Northeastern,New Jersey,55-74,20-30,--,104,7.7
2001,Northeastern,New Jersey,75+,27,19.1,61,11.1
2001,Northeastern,New Jersey,All,93,14.8,582,9.1
2001,Northeastern,New York,18-34,19,19.6*,328,7.3
2001,Northeastern,New York,35-54,65,16.8,514,9.0
2001,Northeastern,New York,55-74,49,9.2,241,8.0
2001,Northeastern,New York,75+,36,13.2,122,10.2
2001,Northeastern,New York,All,169,13.1,1205,8.4
2001,Northeastern,Pennsylvania,18-34,32,33.3,347,13.2
2001,Northeastern,Pennsylvania,35-54,103,27.7,538,14.6
2001,Northeastern,Pennsylvania,55-74,75,15.2,234,11.1
2001,Northeastern,Pennsylvania,75+,58,22.5,109,11.3
2001,Northeastern,Pennsylvania,All,270,22.1,1228,13.1
2001,Northeastern,Rhode Island,18-34,<10,--,31,12.5
2001,Northeastern,Rhode Island,35-54,10,33.3*,38,11.9
2001,Northeastern,Rhode Island,55-74,<10,--,<10,--
2001,Northeastern,Rhode Island,75+,<10,--,<10,--
2001,Northeastern,Rhode Island,All,17,17.9*,84,10.4
2001,Northeastern,Vermont,18-34,<10,--,21,16.0
2001,Northeastern,Vermont,35-54,11,52.4*,28,14.2
2001,Northeastern,Vermont,55-74,<10,--,10-20,--
2001,Northeastern,Vermont,75+,<10,--,<10,--
2001,Northeastern,Vermont,All,21,35.6,71,15.2
2001,Midwestern,All,18-34,128,22.3,1914,12.8
2001,Midwestern,All,35-54,617,30.6,2894,15.1
2001,Midwestern,All,55-74,391,17.2,1215,12.3
2001,Midwestern,All,75+,255,24.8,636,15.6
2001,Midwestern,All,All,1391,23.6,6659,13.8
2001,Midwestern,Illinois,18-34,16,16.3*,316,10.5
2001,Midwestern,Illinois,35-54,95,31.0,449,12.3
2001,Midwestern,Illinois,55-74,55,14.5,215,11.8
2001,Midwestern,Illinois,75+,39,21.8,114,15.5
2001,Midwestern,Illinois,All,205,21.3,1094,11.8
2001,Midwestern,Indiana,18-34,11,19.0*,186,12.9
2001,Midwestern,Indiana,35-54,66,31.6,320,17.7
2001,Midwestern,Indiana,55-74,37,17.2,112,12.0
2001,Midwestern,Indiana,75+,26,28.3,74,20.4
2001,Midwestern,Indiana,All,140,24.4,692,15.2
2001,Midwestern,Iowa,18-34,<10,--,84,12.7
2001,Midwestern,Iowa,35-54,34,36.6,119,14.1
2001,Midwestern,Iowa,55-74,20,18.3,53,11.2
2001,Midwestern,Iowa,75+,10-20,--,28,12.4
2001,Midwestern,Iowa,All,72,25.5,284,12.9
2001,Midwestern,Kansas,18-34,<10,--,99,15.8
2001,Midwestern,Kansas,35-54,26,29.2,111,14.2
2001,Midwestern,Kansas,55-74,22,23.2,50,12.5
2001,Midwestern,Kansas,75+,<10,--,17,9.4*
2001,Midwestern,Kansas,All,63,24.4,277,13.9
2001,Midwestern,Michigan,18-34,19,23.2*,291,12.7
2001,Midwestern,Michigan,35-54,80,26.2,443,14.8
2001,Midwestern,Michigan,55-74,47,13.8,194,12.7
2001,Midwestern,Michigan,75+,35,23.0,83,14.1
2001,Midwestern,Michigan,All,181,20.6,1011,13.7
2001,Midwestern,Minnesota,18-34,10,27.0*,137,11.9
2001,Midwestern,Minnesota,35-54,42,26.6,204,13.4
2001,Midwestern,Minnesota,55-74,30,16.7,78,10.9
2001,Midwestern,Minnesota,75+,15,19.5*,34,11.2
2001,Midwestern,Minnesota,All,97,21.5,453,12.3
2001,Midwestern,Missouri,18-34,18,32.7*,205,16.0
2001,Midwestern,Missouri,35-54,62,30.4,307,18.5
2001,Midwestern,Missouri,55-74,38,17.4,125,13.7
2001,Midwestern,Missouri,75+,28,29.2,68,18.6
